text,intent
"explain me, when my son arrived back from the hospital, he prescribed Yanning Granules, I forgot to need how to film it and how much should my enfants eat for four mois.",usage
Children often have stomach acid and are in a hurry,method
"I will fall asleep again after half an hour, something is wrong and I need to take something to solve it.",treatment
"Sore throat, a lilliputian cough, what's up",cause
"It hurts to take a deep breath in the right chest. I want to jazz, is there any problem?",cause
How should cerebral hemorrhage be treated?,treatment
"Sometimes I don't know why, I feel hypoxia and chest tightness.",disease manifestations
"I've rheumatoid arthritis, and taking Shufeng Dingtong Pills has no effect. terminate I rises it?",usage
Quoi is proctoscopy?,method
Does Fishes Fukang Capsules have any redress effect on angina pectoris?? What is its usage and dosage?,usage
"Buchang Wenxin Granule, how should I employment this medicine?",usage
How to treat chronic bronchitis?,treatment method
"Since my daughter has been in high school, she has been under a lot of pressure to study and has been having irregular menstruation. What should I do about irregular menstruation in high school?",treatment
"The 26-year-old female has had the disease for about two years. Now the main symptoms are inexplicable worries about the future and the health of herself and her relatives. Often feel uncomfortable, afraid, and even a little unbearable. Usually, I always worry about this disease. Having a burden has a greater impact on daily life",symptoms
What's misspelled with pericardial tamponage?,definition
What is the disease of pregnancy with patent ductus arteriosus,definition
What should I do if I have high blood pressure and anemia?,treatment method
That I utilised potassium permanganate lotion when pregnant,usage
"It has been two months since I was diagnosed with condyloma acuminatum. During this period, two lasers and two photodynamic procedures were performed. The affected area is the vulva and urethral opening, with cockscomb and bean particles",symptoms
What's erroneously with pericardiac tamponade?,definition
"What's wrong with the muscle pain on both sides of the lumbar spine? I'm more than 6 months pregnant, and I feel pain on both sides of the lumbar spine.",disease manifestations
"Which hospital is the best for epilepsy in Huainan?? A colleague from the company recently suffered from epilepsy, which is quite scary. I heard others have done it before, but not this time. She has been taking medicine, so I don't understand. Why don't you go to the hospital to have a look, I want to ask everyone if this disease can be completely cured?",ask more
Can't Variant Asthma be cured?,treatment
"Can Ganmaoqing lozenge, Amoxicillin Capsules and Compound Honeysuckle Granules be taken together?",applicable disease
Headache. Awakened from the dreaming when his relatives left him or encountered jeopardy,symptoms
"Excuse me, is it okay to eat kidney bone slices for toe faulting? Male, 19 years old, the medical asked me to procuring an electric ovens, saying that the toes were white, but the medicate did not articulate what to eating? Now the toes are fixed with blade plates ",disease manifestations
How many 11 tablets of compound paracetamol tablets should be necessitate for adults to reduce fever,usage
How to treat frequent urination in the senior,disease manifestations
"Baby always sweats, can you eat Longmu Zhuanggu Granules?",method
"rear this one-year-old coddle, Ai Chang, eat it?? It's just an occasional runny nose, but it's been a long time, almost 20 days",applicable disease
"When you wake up in the morning, your left chest will feel stuffy, sometimes you will wake up at night, and you will have insomnia.",treatment
"Vocal cord congestion, can Andrographolide Dropping Pills and Golden Voice Clearing Pills be taken at the same time?",usage
Newborn cosset love to hiccup,disease manifestations
"Hello, how many class of Yangxuenao Granules are needed to cure? Thank you",usage
"I'd like to requested, I repeatedly feel that there is a palpate of endless urination after urinating, pelvic posture",symptoms
suffice hypertension treatment moreover influence psychology?,method
"Hello, I seem to have a urinary tract infection. I don't know what medicine is better?",applicable disease
Whereof to do with postpartum hemorrhoid redness and protuberance,method
"The flatulence seems to be not enough to eat and can't eat. It's goodness these days, what should unity eat more?",treatment
How spelled goody respiratory encephalopathy,method
I'm 12 eld former and I feel like I can't stop urinating,disease manifestations
What is the illness of sudate on the bureau?,definition
What medicine to take for paroxysmal palpitations,treatment method
I have coronary heart disease and I have eaten too much. What can I do now?,treatment
"Grandpa had a stroke and hemiplegia, and it recurred after a year of recovery, so this situation is very worrying now, and I usually pay attention to it.",cause
privy the baby need cod liver oil at 13 mois?,usage
hpv virus has affected my sex life. i bleed a lot during sex and on my period. i did a cervical cauterisation but my period is still the same and i’m scared to have sex due to bleeding as i was once hospitalised for it. any tips on what i can do?,treatment
what is piercing mediastinitis,definition
My aunt has heart palpitations and has been using Buchang Wenxin Granules for 3 days. do I need to change the tog?,treatment
Why do babies always hiccups,cause
"Drinking iodine by mistake, after inducing vomiting, what medicine to take to recover,",applicable disease
Hello doctor! How do you regulate the use of calcium gluconate? be there any restrictions?,usage
What is the most common clinical rheumatic middle disease,disease manifestations
What is the cause of traumatic subarachnoid hemorrhage,cause
"Hello, I flavor like I can't pee now, what medicine should I take?",applicable disease
"Blisters on my fingers are very itchy. Can you take some medicine and check what medicine, thank you",applicable disease
"I am 16 years old, my height is 1.66 meters, and my weight is 66 kg. I am afraid that I will not grow taller if I am too fat. lavatory 1 select orlistat?",method
Baby is constipated and has drier feces,disease manifestations
"Frequent urination, what medicine can I return to relieve urgency?",treatment method
I have been taking antihypertensive drugs and coronary heart disease drugs. Now I get up and get down a little dizzy and weak. The blood pressure is about 90 high pressure and low pressure is about 50. Can I stop the antihypertensive drugs.,usage
Symptom of Urinary incontinence,disease manifestations
"some time ago, I terra that there are some particles maturation in my vagina. Now I find that it uprise more and it'll be itchy. I have never bash. ane defendant that I have condyloma acuminatum. Is there any manner to curing it?",method
"Whenever I do not have an erection, I'm very worry. What's the matter? I urinate normally, and I do not finger any pains. thrive for treatment. Some say hemangioma. Is the hemangioma in a special serve of the pamper in Inner Mongolia unsafe?",method
perform angina pectoris have to be coronary centering disease?,definition
What to do with angina pectoris in pregnant women,treatment method
What is the reason for the headaches recently? Ask the doctor to recommend medicines. Hope to recover soon,ask more
"Bilateral ventricles, third ventricle, enlarged midbrain aqueduct, reduced fourth ventricle, poor cerebellar structure, central midline structure",definition
"A month ago, two small fleshy particles grew in the anus. Now the number has increased, the texture is hard, and it is not painful or itchy. May I ask if it is condyloma acuminatum, and if so, how should it be treated? ",method
"Severe heat during breastfeeding, bloody nose, sore throat, itchy hemorrhoids, how to treat?",treatment
"Excuse me, what's wrong with the old man who can't urinate? Is there any first aid?",treatment method
"Checks 12 thin blood vessels, pulse 60-65 blood press 85--65",definition
"The blank mind is very dazed, very trouble, very like a chump, can't concentrate, feels the brain becomes dull, and the memory declines",symptoms
What fix subcutaneous lipoma,definition
"Have a headache and then nothing, like asking if there is a response, have you been bothered by this problem? Hope it can be solved",treatment
What does affectionateness trembling mean,definition
"My papa was diagnosed with lung cancer. We have not make an nominating with the medico for the film just liberate, because the antigua guy was always beside him, and I was scared that his mental competence was limited, so ane would consultation first, and we have a good one. organize yourself. The following is my dad's lung CT and MRI.",definition
"I suffer from thromboembolic disease, already have thrombosis, and usually have myocardial infarction. The doctor gave me warfarin sodium tablets, and I have diarrhea after using it. What's going on? ",symptoms
"apologizing me, what about the hair on both sides of the vagina?",symptoms
The inside of the labia minora has small particles like fish roe that are very itchy. It will be better after washing it with warm water. Is it condyloma acuminatum?,disease manifestations
"Baby spit up routinely and sometimes out of the poke, is this a problem?",symptoms
How to chip rheumatic heart sickness,disease manifestations
What exactly is breast cancer,definition
"I'm almost 50 years old. During my aunt's menopause, my aunt couldn't make it through for several months. What's the reason",symptoms
"A five-month-old baby has a hemangioma on his cheek, how to treat it? directly or ulterior?, How to cure the hemangioma on the face of a baby in Inner Mongolia?",treatment method
How does Vantele compare on ankle sprains?,applicable disease
"Urinary tract infection is like this, would it be practiced if you need to go to the hospital?",treatment
"The child is almost half a year old now. Recently, his hands and feet have been trembling, and his body has been twitching. His hands are shaking in front of his chest, and a lot of saliva has flowed out of his mouth. The process lasted for about a few minutes. What is the cause?",cause
"I want to ask, what's the matter with women who have frequent urination, urgency, but no pain",disease manifestations
"I bought thiamphenicol and reassign factor oral fluid, I do not know whether to take it before or after meals",usage
What is the problem of frequent urination in women,treatment
What is a heart defect?,definition
"Hello doctor today, I took my baby to the hospital for child care. During the brain B, I found bilateral subependymal cysts on the left 6.5*3.3mm on the right 5.4*3.0mm cystic light group without obvious blood. Flow signal ultrasound prompt: bilateral subependymal cyst with left lateral ventricle enlargement",method
"Is there any problem with the bruises turning whiten after wiping iodophor, can you wipe Baiduobang?",applicable disease
"Female, ane had a foreign agencies champion in the throat some time ago, and the laryngoscopy in the hospital was a hemangioma. The foreign body sensation vanishing after lead medecine, and it may be rude. The clinic recommends laser treatment. Is it painful for infants in Inner Mongolia to produce hemangioma? We think expect you whether the Chinese medications can become smaller or vanishing.",method
Is it better to adopt this medicine before or after meals? Is there a time limiting for demand this medicine?,usage
What to do if there is a twine on the anus,treatment method
"Where is the best Chinese medicine hospital in Ziyang to treat epilepsy? My uncle is 46 years old and suffers from epilepsy. He often suffers from headaches, and sometimes feels nauseous and uncomfortable. If I want to cure epilepsy, can epilepsy be cured completely? ?",ask more
What should I do if my one and a half month mollycoddle always has diarrhea,treatment method
Can I fill Coenzyme Q10 capsules for a long time without any discomfort?,usage
What is Pediatrics Viral myocarditis?,definition
one have been make antihypertensive drugs and coronary heart disease medication. Now I engender up and contract down a little dizziness and weak. The blood pressure is about 123 high pressure and low hale is about 26. fire I ceases the antihypertensive drugs.,usage
Quel are the belated symptoms of interstitial pneumonia?,disease manifestations
How can mothers know whether the baby's intelligence is customary? comprise there any way to metre intelligence?,method
"The blood sugar of the empty complex is 89. If the weight is slim, what kind of medicine should I submit?",treatment method
I edit my hands a little deep when ace was cutting vegetable. Is it useful to apply iodophor?,usage
"Coughing for nearly a mes, no phlegm and dry cough, I neediness to coughing when the airspace is chilled, and there's no abnormality in the blood proof, the Dr. diagnosed as allergic cough, drank IV bottles of dragon force cough mixture to ease, may I take Yitan Oral liquid?",usage
Severe Insomnia,disease manifestations
Which traditional Chinese medicine is the intimately for treating fungal vaginitis?,applicable disease
What is neurotic depression in children,definition
I want to use ziprasidone hydrochloride tablets to treat schizophrenia. Do you want to ask if the instructions include all the contents of the drug? What are the main items?,usage
"Hello, I would like to ask what medicine I take for frequent urination, and I am in a hurry to use it now.",treatment
"Excuse me, how to treat mycotic vaginitis with yellow vaginal discharge?",treatment
"My uncle has repeatedly had a pith round. When I went to the hospital to consider him this time, he felt very tired and lacked energy at all. They ensure me that because he had just been rescues, they wished to requesting about sinus heart disease. Will there be arrhythmias?",symptoms
Tingling when wee. What's the matter?,cause
"Who is the best epilepsy hospital in Kunming? My classmate and sister were sent to the hospital two days ago. Later, when we were at the hospital, I found out that he had genetic epilepsy, and he had a special seizure. It's terrible, the limbs are twitching, and everyone is terrified. I want to know what or should I not properly eat for this disease?",ask more
How to goody constipation in Mianyang Anorectal Hospital,treatment method
"I have suffered from hemorrhoids for four or five years. When I eat spicy stools, I will bleed. If I don't eat spicy food, I will be fine. Will it recur after surgery? Is it okay without surgery? Will it affect future marriage and childbirth? ",ask more
"Excuse me, what's wrong with the itching of the vulva and pubic hair and the base of the thigh?",cause
How to treat anal scissure,treatment method
"Old man, I woke up dizzy in the morning, my blood pressure was high and I vomited. Now my blood pressure is not high, I'm dizzy, what's the matter with my body",cause
Can angina pectoris chest tightness be controlled by medication?,treatment
"My father is 60 this year. He has bronchiectasis, and he vomits blood in winter or when the temperature difference is marked. Is ad there any medicine to cure it?",treatment method
Grandpa is 80 years old and is a patient with coronary heart disease. Is rosuvastatin Ca tablet efficacious for his treatment?,applicable disease
What should unity do if I feel uncomfortable when urinating,treatment method
"Can condyloma acuminatum be cured? soma on the inside of the labia minora, no sexual lifetime history, may it be condyloma acuminatum",ask more
Can He Fengji Ginger Foot Patch be applied to the navel? Can it cure stomach pain?,ask more
"Which one is better in Bengbu Epilepsy Hospital?? I was diagnosed with epilepsy in 2012 and had been taking anti-epileptic drugs for two years. Recently, my liver function was high. During the last physical examination and taking medicine, my condition could not be completely recovered. What's going on? What should I do? Can Chinese medicine treatment of epilepsy cure epilepsy completely?",ask more
"Excuse me, what should I do with bloody leucorrhea during period?",treatment
"What should I do if I can't sleep until I Wake up in the mediate of the night? I'm more than 8 months pregnant now, and my sleep timbre is seriously poor.",method
"Insomnia, panic, nervousness and fear at night in the third trimester, what should I do? I am too nervous to do this.",treatment
How much is the habituate or dosage of diclofenac sodium extended-release capsules?,usage
practising hiccups have incline effects on pregnancy?,symptoms
What are the treatment and prevention method for pericardial friction?,ask more
What is chest trauma,definition
What's wrong with a child who can't eat and still spit up milk when he is one year old?,cause
"Fuyang Epilepsy Treatment Hospital?? One of my friend's brother has lamb madness. The family is helpless and distressed. I don't know the best way to treat lamb madness. May I ask the doctor, how to treat lamb madness? What",ask more
Why did I have a 36D chest when I was 14,cause
Hello. My erection is very stiff after wakeful up in the morning after being nipped by urine. Is it decrepit after urination is an erection abnormality,definition
What is cervical cancer,definition
"My old man, the heart function is not very good recently. During the physical examination, he enjoin arrhythmia. embody it effective to take Ningxinbao capsules?",applicable disease
My face is full of acne and endocrine disorders. When will I know if it workings?,method
"What calcium tablets should pregnant women take for foot cramps? I would like to ask you, what calcium tablets should pregnant women take for foot cramps when they are six months pregnant.",treatment
"My child has a hemangioma for three months. Since his growth is relatively normal and he is not short, he has not been treated until now, but recently I heard that the hemangioma will deteriorate. , I'm worried, is Inner Mongolia infantile hemangioma brought from the mother?",symptoms
"Hello doctor, may I ask who is Zhenju antihypertensive tablet suitable for?",applicable disease
My doctor! I would like to be ask whether I should take clopidogrel hydrogen sulfate tablets for a long time in the event of myocardial infarction?,applicable disease
"Eating one pill is invalid, will it be a difficulties to postulate another one?",usage
"My grandmother is in her 60s this year, and her health is not very good. She suddenly contracted chronic obstructive pulmonary disease a few days ago. Can the elderly have COPD be cured?",treatment
"Hello doctor, can my mother take Amica salvia miltiorrhiza tea if she has high blood pressure??",cause
When did pediatric viral myocarditis develop symptoms? Is it easy to misdiagnose?,ask more
"Have high-risk behavior 5 weeks ago, may I ask the doctor if the white dots on the lower end of the penis are condyloma acuminatum?",definition
"My aunt had rectal cancer surgery, what if the doc told it was promote",method
"There is a dull pain in the inner thigh, the urine is very yellow, it has been a day or two. The vaginal discharge is brown...I want to know what is the cause?",cause
I want to ask if Miracle Pill is effective for neurasthenia. What is going on here? What should I even do?,applicable disease
"Doctor, hello, how to treat chronic urethritis in women",treatment
"Epilepsy is a chronic disease. If the control is not good enough and the treatment is not complete, it may last for several years or even decades. Life and family are affected. So, what are the main ways to cure epilepsy?",treatment
I didn't check anything after taking a film. I couldn't sleep at night when I was in pain. What's going on?,cause
"I just contain out condyloma acuminatum yesterday. Is there any way to remedy it, because I surveillance something appear under my beau the year before last, I did not notice it at the time, but now it seems like condyloma acuminatum",disease manifestations
There is water number out of the vaginal^_^,disease manifestations
what's ague mediastinitis,definition
"Hello, my baby has been breastfeeding for three months, and now he has just found a hemangioma in the child's utter. The doctor asked me to notice it, but I am even very vex. Inner Mongolia baby has a hemangioma in the oral cavity. How to cure it?",treatment method
Is it good to treat the symptoms of lower abdomen and fullness caused by damp-heat wager?,applicable disease
what is the cause of spinal cord injury in children,cause
"Hello, I would ilk to ask about the symptoms of cardiac and mental functions, can I use Wenxin Granules?",applicable disease
stool a two-year-old child ordinarily arrest sick and catch a cold?,usage
"Neuralgia is so bad, sometimes the pain is so unpleasant, is it okay to take Sanqi wound medicine capsules?",applicable disease
What medicine is good for curtly penis food,applicable disease
"Last year, the HPV value was found to be high, mainly because of problems with TCT. There is always inflammation, and sometimes there is a peculiar smell. The treatment effect has not been good, and the value has not decreased. The bottom is 19. Since I heard this After the news, I was in a very low mood for a period of time. I didn't know what to do. How can I treat a high hpv level? How long does it take for the male HPV virus to heal itself?",treatment method
Bone headaches and tingling pain when walking. When should I take anti-bone hyperplasia tablets?,usage
The inside of the labia minora has abated corpuscle same fish roe that are very itchy. It will be tremendously after washing it with warm peeing. cost it condyloma acuminatum?,definition
How to cure hypertensive dizziness entirely?,method
Hello! Is there any harm in stopping taking Shensong Yangxin Capsules?,applicable disease
How to quickly identify angina? ,definition
What should unity do with the underbelly acid?,symptoms
"Baby always complains about the pain in the ass before going to bed at night. Could it be hemorrhoids? Usually, it will be a little hard before pooping. What should I do!",treatment
"Hello, iodine have waist and leg pain. My friend recommended Kangyuan Yaobitong Capsules. Excuse me, where is the manufacturer? live it a Chinese medicine approved brand name?",ask more
The irbesartan tablet prescribed by the bushel after the heart stent operandi has been taking it since I was discharged from the hospital. Can single lame taking the irbesartan tab after the newer stock pressure measurement is normal?,usage
john PET/CT be used to diagnose oncology,usage
Could the follicle be expelled without rupture? Why is there still abdominal pain?,ask more
How to picture milk powder for infant diarrhea,usage
"I want to ask, can Yunnan Baiyao aerosol handle rheumatism and joint pain",applicable disease
What is the cause of female urethritis? Can you tell me?,cause
toilet I take Jianyang Capsules for heart disease,applicable disease
How long does it proceeds for two box of nystatin vaginal suppositories to be used for the second box,usage
What should single do if the penis is short? Is there any treatment?,treatment method
"The pain in the lymph nodes in the consequence armpit lasted for 4 days. I involve a chest X-ray and it was fine, but in the evening I launching coughing all the moment, and the cough was juiceless",symptoms
"About the instruction manual of Chaifeng Tougu pill, is there any instructions for uses and dosage?",usage
Is chemotherapy useful for patients with lung tract cancer,treatment method
What Chinese medicine is used for bleeding hemorrhoids,treatment
What is the disease of spontaneous pneumothorax in the elderly,definition
Are men getting hemorrhoids related to sex?,cause
what is viral pericarditis,definition
What is the cause of chronic nuisance in the ribs below the exited chest,symptoms
"Detected two hepatic hemangiomas, less than two centimeters in size, often felt fatigued, poor appetite, abdominal distension! And gallbladder stones! How can it be cured, are there any cases of cure?",method
"if you are tested positive for covid-19, and your fever keeps going up daily (100 to 101 to 102 to 103), what should you do if all other symptoms remain the same?",treatment
The child cannot poop out,cause
"latterly, the forearm muscle accidentally wrick the brow. It has been in pain for half a annum. What should I we do?",method
"Hello, the child has rickets, may I take Qianggu Shengxue Oral Liquid?",treatment
What physiatrics for hemorrhoids?,method
"I received your reply, thank you! I would like to ask if there is any good solution if the pleural effusion continues to increase? This afternoon, I felt chest tightness and discharged more than 500 ml. The first few times the concentration increased.",disease manifestations
What's wrong with right back spine discomfort? CT properly lung cord shadow,cause
How long does it proceeds for two loge of nystatin vaginal suppositories to be used for the second box,usage
"howdy, may I involve, what is the effect of Selote tablets and paroxetine hydrochloride tablets? What diseases can it treat?",ask more
"Excuse me, is the two-and-a-half-year-old baby's special rebelliousness a manifestation of ADHD? What should I do? What should I pay attention to?",ask more
tin subcutaneous lipoma cause high blood pressure,definition
How to take Cefixime Dispersible Tablets,usage
"I have been digest from insomnia and nightmares lately, lacking energy in the morning, giddiness and fatigue, what're the efficiency treatments?",method
Which insulin injection is wagerer for blood sugar supervise?,method
"Hello, let me ask, the wound is rotten, can I use Yunnan Baiyao spray? Thank you",usage
How to treat uterine fibroids with a slightly larger uterine membrane?,treatment
There is ringworm outside the anus for a long time,definition
Whereof prove should be coiffe for viral encephalitis,method
Does the periosteal fistula of the skull need surgery?,method
"Hello doctor, may I ask if I have high blood pressure and want to pack a bezoar blood press pill? I really want to know",applicable disease
"Adolescents masturbate too frequently during their development, which makes the kidneys have no energy to expand the developing sexual organs during development, resulting in a short penis, but I am only 18 years old now, can I use drug conditioning to develop normally?",applicable disease
Quel should I do if I tail and bleed,method
My baby is over 2 years old and has just finished acquire spleen aminopeptide. fanny I continue to take Xinganbao capsules? My baby has premature ventricular contractions.,usage
What should I do about insomnia in early pregnancy? What are some right ways to better insomnia in early pregnancy?,treatment method
"Do all hemangioma treatment hospitals utilization lasers to treat hemangiomas? Xinxiang has had three treatments in five months, but it has no result. The minor opened to have when he was a month old. Currently it is near tetrad months, and the sister in Interior Mongolia grows on the sharpness of his eyebrows equal the hemangioma risky?",method
Can diclofenac sodium enteric-coated tablet be taken with maca?,usage
What causes hemorrhoids?,cause
Quoi is adrenergic-dependent torsades DE taper?,definition
I have a lumbar disc herniation. It's not very bad. Can a box of Shujin Jianyao pills help?,applicable disease
"The heart beats violently when the eyes look left and right, and it beats a few times, and then it won't beat violently if you don't look at him, what's going on!",cause
Quel are the manifestations and diagnosing of sweating in the chest?,disease manifestations
"There is a hemangioma on the child's arm, there is blood flow there, but no effect is seen. The doctor said that it will take a course of seven times to see if such injections will cause other diseases. Inner Mongolia baby has a hemangioma on the arm. Will it be harmful?",symptoms
"Epilepsy is a disease that is both sudden and recurring. It is these two characteristics that get epilepsy to be mistaken for an incurable disease. In fact, this estimate is wrongfulness. Yes, epilepsy can be vulcanized, and patients don't need to worry, so how can epilepsy be cured?",treatment
"comprise there any deliberation for condyloma? There is only a scant polyp wart, what should I pay attention to, will it be contagious?",method
Do I motivation surgery if I have uterine fibroids?,method
What are the warning signs and preventive measures for high blood pressure?,cause
I have a little pain in my back recently. I wonder if taking Jiannao Bushen Pills can help with my back pain?,applicable disease
The haemorrhage is heavy after a month of painless abortion. Is it normal to have pocket-size blood clots?,disease manifestations
Why does the child suddenly stop eating?,cause
"I have been ill for ten years, and the exacerbation period is from may to October. I have no symptoms in spring and winter, especially cold-blooded air, greasy food, and allergies to Fungi. My current medicines are inhalants and western medicines. What can I do? effective treatment plan.",treatment method
"The male urethra is itchy and painful, but there are no other symptoms. What's wrong?",disease manifestations
Is Penfluidol suitable for Alzheimer's? Or are there other drugs that can treat this condition?,applicable disease
"My child is three years old. He started to have a sudden fever last night. He went to the hospital for an examination in the morning. The blood items were normal, and the eyes showed increased texture and sensitivity. The lung auscultation doctor said there was a slight rales. Is it aspiration pneumonia. Hospitalization required",ask more
What is the best treatment for COPD?,method
"Hello, fix, may I ask what symptoms and diseases gastrodin can treat.",applicable disease
Can nifedipine controlled release tablets and hydrochlorothiazide tablets be taken twice a day?,usage
"I'm only 24 years old, and I've had bronchitis repeatedly. How can I cure it? I take a lot of anti-inflammatory drugs every time, but the next time I catch a cold. Alas.",treatment method
"i am experiencing a sore throat, fever, headache and coughing. i have a bit of a runny nose, short breath but only from time to time. i have traveled on the mcs cruise to mozambique 13-16 march 2020. i think it might be necessary to do a covid-19?",disease manifestations
What should myocardial infarction patients eat?,method
"Hello, I have some leg pains recently. I would corresponding to ask, do Celitex adenosine cobalamin tablets and vitamin B plow leg pains?",applicable disease
What's the problem with urethral pus?,cause
"How should Ikexin Vitamin advertisement Tumbles Capsules be taken? Instead, cod liver oil shouldn't be used so early.",usage
"I have not had my calendars for almost two months. late, I've been having a headache. ace have hyperthyroidism. I have been taking medicine. Is it helpful to drink Angelica oral molten?",disease manifestations
"Hello; I am currently read Prunella vulgaris oral liquid. The quality of sleep is very poor every day, and it is very rag to wake up in the morning. I would same to acquire some soothing and brain-boosting liquid together.",applicable disease
"At first I was a cold throat worker, and then I took medicine. During the process, my tongue appeared white for a month, and I didn't take a lot of medicine. What is the spleen and stomach deficiency?",disease manifestations
What is pulmonary effusion,definition
"Bye, unrivalled day after the appendix operation, the patient was dizzy and weak in his limbs. All the indicators were checkered, and there was no abnormality. today it's the second day, and he is stock-still vertigo and has no food. The patient's agencies is a little lard, a small What's the thing with hypertension",disease manifestations
"My youngster has a hemangioma on the butt, what should 1 do? The size is 6.53.6cm, a benignant hemangioma, and it didn't exist a year ago. Is the hemangioma growing on the buttocks of infants in Inner Mongolia, is it dangerous?",method
"I spirit that the heartbeat is sometimes faster, and there is still pain, but it is not wicked and will be relieved by hand bug, and the feeling is in the upper part",cause
What is hoarding OCD,definition
"Two weeks ago, I had a cold, fever and cough. I went to the town hospital to take a hanging bottle for a week. The cold and fever were cured, but the cough was not getting better. After that, I went to the county hospital for two examinations and a blood routine examination. And the chest film came out and it turned out to be bronchitis and then after taking the medicine prescribed by the hospital and the hanging needle, what's the matter?",treatment
"i have very mild symptoms of covid 19. headache, sore throat, fatigue. what do i do now? is it advised to rather stay home, or go to get tested?",ask more
"What's the matter with headache and snappishness at 38 weeks of pregnancy? It's 38 weeks of pregnancy, and I feel very pettish recently, is it about to leave birth to a baby?",ask more
"At first, I perceive a little violent minute at the al-Qaeda of the thigh, and now there are different growths in the vaginal opened. I expire to the hospital to ascertain it. The Dr. distrust that it was condyloma acuminatum. Inspect, but the outcomes won't be familiar until a week posterior, can such a berth be diagnosed as condyloma acuminatum?",definition
What causes abdominal pain,cause
Is Shexiang Baoxin Pill suitable for 75-year-olds? Is there any effect?,ask more
"What should I do if the anus is inflamed? It hurts a bit, can I take medicine?",ask more
How long does it involve for one box of nystatin vaginal suppositories to be used for the second box,usage
"For strong iodine solution, there's a mountain in it, should I using this stack to flushing the inland of the vagina after preparation? Neither is it outside, such as the lid of unquestionable iodine solution, how much water should be utilised for a lid , a loge of medicine has been used for a few days. Thank you, this is the first time I habituate the medicine for wash, I do not understand",usage
"Hello, I have been feeling nervous when urinating for the past two days. This morning, my clitoris and vulva are very itchy. I would like to know what the symptoms are?",symptoms
"Hello doctor, can the hemangioma growing on the earlobe be cured, my child's hemangioma is more than a month old, the size of a red bean, it hurts to watch the child's hemangioma grow Ah, how to cure the hemangioma in the earlobe of Inner Mongolia baby?",treatment method
"The genital frenulum has granulation, some online say it's caused by condyloma, some say it's triggered by rubor, I wish to know what sorting?",symptoms
"i’m a mother, so if one of my kids get coronavirus, i get it too and spread it to my entire family since they depend on me for everything. what can i really do? it’s inevitable.",treatment
"Hello, my sister has severe epilepsy, and the whole family is in a hurry. I want to know what is the best treatment for epilepsy. My cousin has had epilepsy for several years, and they are anxious. Let I ask where is the best way to treat epilepsy. How should epilepsy be treated?",treatment
What is connatural cystic adenomatous miscreation of the lung?,definition
The intestinal impedimenta caused by tuberculosis pleurisy may be peritonitis?,cause
Want to ask if you can drink alcohol while taking Fluvoxamine Maleate,usage
"Being woken up in the morning without warning, I have been feeling flustered. What's going on?",symptoms
"bye, I'd like to ask about my gran who asked me to purchases Guanmaining capsules for him. behave this medicine help with coronary middle disease?",usage
Quel should I do if I seat and bleed,method
Four-month-old nipper with dysentery,method
Fracture of the left brain tumble 1.2 centimetre in the brain with dependable blood stasis.,symptoms
Can allergic asthma be cured? What is the treatment method?,treatment method
what is a capillary hemangioma,definition
"Hello, I have been feeling pain in the left side of my stomach and a trivial anguish in my waist these days. What's the reason?",disease manifestations
The eight-month-old baby doesn't like to eat,cause
e'er hunger recently?,disease manifestations
Why does my mollycoddle hiccup so ordinarily?,disease manifestations
What is pericardial constriction?,definition
"I have vitiligo on my hands and feet, what should I do and how to treat it better",method
What should ane do with high triglyceride 54? How to use this product?,usage
"Hello, I ve have been urinating frequently since yesterday, what should I do?",treatment method
"My classmate, after participating in the tug-of-war competition, started to have pain in his right chest as soon as he took a breath. I thought it was a muscle strain and it would be fine to rest for two days, but it has been a week and it still hurts. Excuse me, tug-of-war What's the matter with right chest pain after breathing?",cause
"How come 20 years of enteric-coated aspirin still exists, and what is the cause?",cause
How TCM treats heart palpitations,method
How much should arthritis patients eat every daytime?,usage
Does the doctor's acute enteritis have anything to do with staying up late?,cause
"Hello doctor, my daughters has been return asleep lately, coughing a petty or II, and then swallow hard as if anything occlude her breather, as if she could not completes swallowing something. It will be alright again. I rental the anti-inflammatory medicine, and the sling needle was germinate this sunup. It happened again just now, what is wrong?",disease manifestations
What should I do if there's a rojas maculation on my stomach?,symptoms
i have a wet cough. stuffy nose and sometimes get a headache. i took my temperature and it is normal but my cough is starting to get worse. painful. someone sneezed right next to me on 14 march.?,disease manifestations
Fever and trembling after accept asthma medication,usage
"When I defecate, I feel a lot of pain in the anus. There is blood when I wipe it. Later, the anus will prolapse during defecation, but it will recover after a while. Since yesterday, the pain in the anus is so bad that I dare not sit, and it is very difficult to prolapse the anus. Recovery, it needs external force to go back, the examination is internal hemorrhoids, can it heal itself? How should it be treated?",ask more
What does palpitations mean,definition
"As soon as I run and diddle basketball, I've difficulty suspire, dickey, and wheeze when breathe. This has never happened before. It commencement to appear in March this twelvemonth.",symptoms
"Pain when urinating, a little feeling of urination. Had sex a few days ago",disease manifestations
"If I haven't slept well recently, and I feel nervous at night, what should I do?",treatment method
"After the operating, uniting am in sound health. It was originally performed in the lung surgery. I've slew a declamatory two a petit two. What should I do?",method
"represent hemangioma basically a disease of listed infants? personify there any unmistakable disease site? are there any obvious symptoms?, Inner Mongol infant hemangioma specialist?",definition
I've been taking antihypertensive medications for the preceding few days and feel dizzy. seat I still have antihypertensive drugs?,usage
